sample_id,family,label,sha256
benign-office_000,Benign-Office,0,69a79e301e2bd95512e90a59293f42dba2a4b476e14df5c5c503330ca0fabcf2
benign-office_001,Benign-Office,0,f922c76f924017dbb91877e4f126c8ce813c43b9962db0edcdbfd70951ad5680
benign-office_002,Benign-Office,0,e1b513c2ea875e924c27dbb662c815450dc519a82b7b2905d161355da0f5d3fb
benign-office_003,Benign-Office,0,bd766284204c415342e2d87c5cd188b0b999764636615595735259fa15e82228
benign-office_004,Benign-Office,0,3a9ee197ea630ee1c565779bacdaeb9adea075f72bc49d7f97488c3fad978fab
benign-office_005,Benign-Office,0,e4e6b5ca1cd1d62553c5da0d97544e0790ffce31c7167647d6db874c5e44d134
benign-office_006,Benign-Office,0,17bdd3d6f96b7d573e076b88a370322323f65ae940f50a97c15da75efe42450a
benign-office_007,Benign-Office,0,57f63e21112ee8a343de9bef6a3814966b0bf749cfa808f2c17df28913011fc3
benign-office_008,Benign-Office,0,8e3cd145d7231d8baf5ee350ad96523a79a162e8f3e214f997c4761dfcd2ee1e
benign-office_009,Benign-Office,0,50992506ba937d45693b474a3a3815d6a7c7e4f8e71b91735f1a469cb4053c22
benign-office_010,Benign-Office,0,93d39343eb00d166c5a50f00a248d1e7f6fd34880298dd5ae9783d9425ec1ac1
benign-office_011,Benign-Office,0,0c0b2919f0ab95e99d3cca876273e6393b8b0128c90e224b73644f254b4c495a
benign-browser_000,Benign-Browser,0,e5cc72a053a1864d9e80cfa1799f19e07fe2fbb90813ff520c48e3694d6c1200
benign-browser_001,Benign-Browser,0,f916b54a6264daf4d6ad7c658bd1db35ddf2d36e564de30e49be797ec3f52868
benign-browser_002,Benign-Browser,0,721d8f33dc32b119f73f9dcd2e79fd4ea2c083d006b01feb9c22870cc0c4fc6c
benign-browser_003,Benign-Browser,0,461b06230eeab2e7f241607d9b61319cb136b8eb9e65d4f56fadd951256c7a24
benign-browser_004,Benign-Browser,0,0d6f4e76dca38efa96e5e085b9a34db819a5b109e0d55f50744487a156e626ff
benign-browser_005,Benign-Browser,0,d168f390815679f7664579f1dcf66ec3c58ffc8e78177e42fbc8233cfe8a9128
benign-browser_006,Benign-Browser,0,2cbadba6025e0a40007f94b3ce8c61ea66fbc911470793c68d276cc3429f34b4
benign-browser_007,Benign-Browser,0,a0e821b790b01e6c75d9389ea65ac9a434853030129077e73f07374bd2b4d7cf
benign-browser_008,Benign-Browser,0,7886281917c5b9a4b0e91f34c36460c860d56fbeb0de68ab7dd4be8c27d828aa
benign-browser_009,Benign-Browser,0,5009e04881c3edb775f4f4420e74569f29774b48539de639d858bb541c5c8393
benign-browser_010,Benign-Browser,0,698e20041ab3043122f8e00a226d34d8c806ecaf19e65c3f55f194a91d0d01e8
benign-browser_011,Benign-Browser,0,9f008a3634afb3ea8866940b8d8d89fd5bcfe39a7955569b26fb691480ef72e8
ransomware_000,Ransomware,1,c30144f1ebf79289065690f171d117e0d3985a1fe726f732f64514ddfa378f0e
ransomware_001,Ransomware,1,cdf17ede8147eb4f18bcd34232aceca1ec7d77e7123548464731c299475ac768
ransomware_002,Ransomware,1,06fb4c6743630cfe63a7705c0d472755a7ae6cacb716d3e8ca4bc22cf82c9262
ransomware_003,Ransomware,1,d828e82b9c747dc65004bfe1923b010a29195375157a783c8a08147761f69faa
ransomware_004,Ransomware,1,faad760ab60d6b7de3bad898dfd02db95227c1b7f6825096e0cbf3366c675ad9
ransomware_005,Ransomware,1,fc1ecf3d05da9b252b85ebad0edfb4e293cf27eefe9b8e97dc0c639f14b39745
ransomware_006,Ransomware,1,26e2c58fc776c5dbbe32cad3109e5a317883f92d366c3527ba9bd29d798bc63d
ransomware_007,Ransomware,1,879fdd85ba501be0a8d79fb9d9b985f4ad9f6b7e3b78a7da282204e66ecf9a69
ransomware_008,Ransomware,1,7572ed17f6a26722b0644ad17b008ff15151b296f141771e620682c939d26a83
ransomware_009,Ransomware,1,30d4e59c1ea0a8198b983ff3914f82aeb7574b51d6877a73101f29859f06ae6b
ransomware_010,Ransomware,1,885f3fb4e6506b1740f246c60132b2f169d42285f4355da210992ea6c7b39709
ransomware_011,Ransomware,1,be45a5bf78a3737e1fdbf3c5eb71012d8389bc859d1087b024233132f7dd61a8
botnet_000,Botnet,1,21f91b0cce76ac4837650bd5dc87999519411ccb283d0ce9fef0b5a370410cbb
botnet_001,Botnet,1,7aa0739fa9678a81e58af53b31b37462b0430a09bc22b00b8563bc270ce9a098
botnet_002,Botnet,1,4e946ccbb323986a3bece535f430d75710fc8960fd5fc3f25c85fe8c594908d1
botnet_003,Botnet,1,09648719a756d7df6c3a5063f04560ebd25a49b8fcda727620bca9c4b977c61f
botnet_004,Botnet,1,64b3bdfc9587d73a2cad6f55ecf81017bfb1243419a4f2eb94e34e7180315bf2
botnet_005,Botnet,1,9d89fcf34c400a0defcfc7222eda500048ba80a7aef8b5f168ebb0bab136ccfb
botnet_006,Botnet,1,11867928d78b7869eddbaa1bcce1043ee6ab5799678a6f4d5dd81598f04a35c7
botnet_007,Botnet,1,9c511dea3f4958cbf6599f0f2c8de02069366628f411a6d761880f51d989f8f5
botnet_008,Botnet,1,d4a60f2373972602177dead4cd03104f2f5075f6a6a86464ef047f1574a63f98
botnet_009,Botnet,1,a3d10423dd306ecae236fd5d8d0ff270343b13a41a38748e3ce7d403f9b7d49c
botnet_010,Botnet,1,d5bd79613b39fd6896c63bfce609c6e42acbc2f45b6a0fb76deeb1e501847006
botnet_011,Botnet,1,ee3d124e1d24426eade27afc62add9e2cbc1f3cc0a3d02b4c543e4af35dc6e92
spyware_000,Spyware,1,0db48210f4f9b362863270e63baec89b7e5dcb3163a591eb36bdc6ab763bd3a8
spyware_001,Spyware,1,84a03a9fed87022fa49178f632ae594ed769ecd61a299d640cd1f2f3a6421c61
spyware_002,Spyware,1,892905b5c6ba44a6527be32f6e1242dce81509785a0ce2e4c767bc3e5c74f518
spyware_003,Spyware,1,04310f0cf7d3af56266851795d05fce4dde5ef36c6f5ee414c26e24a934cce55
spyware_004,Spyware,1,dbfabd6de6881727e76a27a7a2bcafeccea8e0a876e105dc0719e51cd189da5b
spyware_005,Spyware,1,71feec151e7103e6931447afee995a8184df88cace2abf8f7cce403838aace79
spyware_006,Spyware,1,29cad7384b9cb8821d344229c35fd13c2a3d4f27e5e4c67360fe57d5413db15f
spyware_007,Spyware,1,545d435b0673ae2b2d7e3d283f8f82afda323863440ad85b58ca99c3e51563e4
spyware_008,Spyware,1,f3f7d20da744fa199d75557cc6409b47573f33245a31fc42f0780c30d28d7e73
spyware_009,Spyware,1,dce971e73116fc45a18cbbe7af23126d0006c1c18ef738d6c79869730f0fea64
spyware_010,Spyware,1,0cd44a65305501938c07699ad787c4b1752a6e6a92d09819834a1fd33013c674
spyware_011,Spyware,1,0c4a278bd3ec0e9610b5ecdfae58bf22b3dfb54d5ef1f24ddeee1f74fc1bd5b3
